matrícula	nome	idade	renda	cor	sexo	ano_curso	escola	cod_curso	logradouro	numero	bairro	cidade	uf	cep	motivação
RA55007707	Michelen Vilante Cardoso	21	3451.86	1	2	5	2	18	Rua Marino Pinto	894	Jardim Palmares (Zona Sul)	São Paulo	SP	04457-090	3
RA55000943	Walner Canadas	19	1114.99	2	1	3	1	37	Rua Marechal Morais Âncora	434	Jardim Maria Luiza	São Paulo	SP	05371-000	9
RA55007663	Zoraida Mieiro Macieira	21	3432.86	1	2	5	2	101	Rua Carapuruí	62	Alto da Lapa	São Paulo	SP	05059-050	2
RA55002491	Solon Meireles Teixeira Rebimbas	19	921.99	2	1	3	1	76	Rua Monsenhor Castro Nery	321	Parque Maria Domitila	São Paulo	SP	05128-010	10
RA55009680	Andrielisson Barreto Rocha Nóbrega	34	6240.64	2	1	1	2	91	Rua Piruini	530	Jardim Jaú (Zona Leste)	São Paulo	SP	03710-110	0
RA55006291	Ramaiana Casqueira Lago	20	1499.43	1	2	4	2	8	Rua Major Walter Carlson	532	Jardim Arpoador	São Paulo	SP	05565-210	4
RA55004936	Gerleni Marcondes Rosado	20	2090.42	2	2	4	2	43	Rua São Pedro	138	Jardim Raposo Tavares	São Paulo	SP	05551-080	8
RA55003936	Bonnie Caeira Quinta Loureiro	20	2185.42	1	2	4	2	33	Rua Rio de Janeiro	805	Parque Recreio	São Paulo	SP	04891-230	6
RA55006957	Dinaele Ferrão	21	2063.87	1	2	5	2	74	Rua Major Claudiano	49	Vila Gea	São Paulo	SP	04692-030	4
RA55002385	Maickson Maior Flávio Sarmento	19	714.99	1	1	3	1	5	Vila São João	348	Cidade São Mateus	São Paulo	SP	03961-130	10
RA55000116	Drucila Salgueiro Barreno	19	543.99	1	2	3	1	11	Rua do Buruí	876	Parque Casa de Pedra	São Paulo	SP	02320-170	10
RA55001864	Naylla Domingues Rebouças Abelho	19	721.99	1	2	3	1	58	Rua Capitão José Leite	759	Vila Matilde	São Paulo	SP	03510-010	9
RA55009977	Geciana Loio Camilo	29	594028.04	1	2	3	2	100	Rua Marechal Deodoro	273	Santo Amaro	São Paulo	SP	04738-900	0
RA55003120	Fabio Alves Araújo Chagas	19	1549.98	1	1	3	2	11	Rua Dom João VI	942	Jardim Luzitânia	São Paulo	SP	04032-100	7
RA55004259	Janis Barreira	20	2164.42	1	2	4	2	53	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	8
RA55006706	Elandio Lamego	21	1723.88	2	1	5	2	103	Rua Rui Barbosa Lima	441	Vila Curuçá	São Paulo	SP	08030-730	5
RA55000903	Conceni Lários Castilhos Laureano	19	974.99	1	2	3	1	94	Rua Benedita Barbosa	729	Vila Barbosa	São Paulo	SP	02556-100	10
RA55002820	Elonilde Vilariça	19	2007.98	1	2	3	1	82	Viela Vinte e Sete de Setembro	710	Cidade Nova Heliópolis	São Paulo	SP	04235-090	10
RA55003823	Raimundinho Souto Andrade	20	2361.42	2	1	4	1	100	Rua Monsenhor Anacleto	467	Brás	São Paulo	SP	03003-020	6
RA55008162	Leodiva Fontoura Monte	25	2449.66	2	2	5	1	67	Rua Vinte e Quatro de Dezembro	307	Vila Dom Pedro II	São Paulo	SP	02241-050	2
RA55006891	Josecarla Hilário	21	1329.88	1	2	5	2	56	Rua São João	323	Vila Pereira Barreto	São Paulo	SP	02920-050	5
RA55009091	Gileane Neves Lemes Ximenes	24	4187.19	1	2	1	1	25	Rua Rui Porto	189	Chácara São João	São Paulo	SP	05109-180	0
RA55004700	Genilton Carrasco Bingre Vilaverde	20	1378.43	2	1	4	1	24	Rua Sete de Abril	787	Centro	São Paulo	SP	01044-902	6
RA55008919	Raulina Valcácer Brum Carromeu	24	5648.17	1	2	1	2	28	Rua Duque Costa	420	Vila Sofia	São Paulo	SP	04671-160	2
RA55003803	Jossinei Cardim Lira	20	1961.43	1	1	4	2	39	Rua Sargento Sílvio Nunes Miranda	474	Parque Peruche	São Paulo	SP	02532-050	8
RA55006069	Osane Aranha Freitas Marroquim	20	2235.42	1	2	4	2	10	Rua João Anes	464	Alto da Lapa	São Paulo	SP	05060-020	4
RA55005811	Erimar Pinhal	20	1799.43	1	1	4	2	17	Avenida Vinte e Quatro de Fevereiro	868	Vila Rui Barbosa	São Paulo	SP	03734-090	8
RA55003537	Cideval Aranha	19	2056.98	1	1	3	2	7	Avenida Sargento Geraldo Sant'Ana	512	Jardim Taquaral	São Paulo	SP	04674-903	7
RA55003826	Jemeson Toscano	20	1731.43	1	1	4	2	95	Vila São João	348	Cidade São Mateus	São Paulo	SP	03961-130	6
RA55008643	Eliane Lins Milheiro	23	4392.74	1	2	1	2	75	Rua Curruíra	550	Vila Aurora	São Paulo	SP	05186-200	3
RA55008609	Duartino Quina Xisto Teles	25	5045.63	1	1	5	1	1	Vila Marcolina	134	Parque Vitória	São Paulo	SP	02268-040	2
RA55004811	Leoni Gravato	20	1279.43	1	1	4	1	73	Travessa Sete de Setembro	449	Recanto dos Humildes	São Paulo	SP	05209-550	7
RA55001947	Gevanildo Belmonte Macieira	19	1111.99	1	1	3	1	88	Rua Pedro Feres	608	Água Branca	São Paulo	SP	05042-030	9
RA55008601	Clodson Cerqueira Lacerda	23	4608.74	1	1	1	2	98	Rua Treze de Maio	917	Cantinho do Céu	São Paulo	SP	04849-650	2
RA55007137	Elieni Gravato Quintão	21	3485.86	1	2	5	1	46	Rua Pedro Meira	678	Vila Curuçá	São Paulo	SP	08030-500	2
RA55005336	Tarcio Robalinho Sales	20	2149.42	1	1	4	1	101	Avenida Odila	792	Planalto Paulista	São Paulo	SP	04058-021	6
RA55003489	Rairton Morais Basílio	19	1239.99	1	1	3	2	83	Rua Marcos Freire	579	Jardim Nova Conquista	São Paulo	SP	08346-580	7
RA55001611	Galvino Igrejas Grilo Serralheiro	19	939.99	1	1	3	1	43	Rua Dom Pedro	498	Jardim Apurá	São Paulo	SP	04470-037	9
RA55007462	Denaide Atilano Bencatel Bento	21	2976.86	1	2	5	2	23	Rua Caetano Desco	948	Vila Baruel	São Paulo	SP	02523-080	3
RA55008474	Jonatans Damásio	23	3526.75	1	1	4	1	49	Rua Major Sucupira	301	Vila Firmiano Pinto	São Paulo	SP	04124-050	2
RA55004678	Kariele Jordão Júdice	20	2351.42	1	2	4	2	86	Rua Elias de Almeida	953	Parque Casa de Pedra	São Paulo	SP	02319-120	8
RA55004960	Matiane Salazar Carromeu Raposo	20	2256.42	1	2	4	2	29	Rua Trio Arquiduque	434	Jardim São Bernardo	São Paulo	SP	04844-520	7
RA55005868	Elizena Barata	20	1804.43	1	2	4	2	15	Rua Caetano Desco	948	Vila Baruel	São Paulo	SP	02523-080	7
RA55008764	Clislene Ávila Amoedo	22	5431.28	1	2	5	2	47	Rua São Marun	19	Chácara Itaim	São Paulo	SP	04543-017	3
RA55004762	Uoshinton Caires Rodovalho Charneca	20	2335.42	1	1	4	1	59	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	7
RA55002195	Sheina Lustosa	19	936.99	1	1	3	1	74	Rua Dom Valverde	947	Vila Monumento	São Paulo	SP	04261-090	10
RA55008004	Josinal Pescada Silva Caldas	21	3412.86	1	1	5	2	88	Rua C	501	Jardim Santa Cruz (Sacomã)	São Paulo	SP	04182-135	3
RA55005702	Zairi Valcácer Tristão Granja	20	1983.43	1	2	4	2	111	Rua Curruíra	550	Vila Aurora	São Paulo	SP	05186-200	6
RA55005114	Lenier Escobar	20	1370.43	1	2	4	1	91	Rua Vinte e Dois de Abril	329	Lajeado	São Paulo	SP	08450-420	6
RA55000558	Cisnando Rego Castanheda	19	1109.99	1	1	3	1	10	Rua Dona Domitila	252	Vila Ponte Rasa	São Paulo	SP	03882-180	9
RA55008066	Alvarindo Azambuja Mangueira	25	3651.64	1	1	1	2	56	Praça da Sé	631	Sé	São Paulo	SP	01001-901	3
RA55005140	Elisander Faro Coutinho	20	2393.42	1	2	4	2	60	Rua Sargento Olício Alves	48	Vila Campo Grande	São Paulo	SP	04455-180	6
RA55001208	Adineia Muxagata Silveira	19	697.99	1	2	3	1	74	Rua Soneto de Agosto	641	Jardim Santa Lucrécia	São Paulo	SP	05185-430	10
RA55007034	Naicy Talhão Queirós	21	2445.87	1	2	5	1	82	Rua Sargento Advíncola	568	Parque Mandaqui	São Paulo	SP	02418-130	2
RA55007310	Diovani Abreu	21	3062.86	1	1	5	2	25	Rua Vandoma	793	Parque Cocaia	São Paulo	SP	04850-170	3
RA55001511	Ivesson Veiga	19	898.99	2	1	3	1	72	Rua Pedro Doll	912	Santana	São Paulo	SP	02404-001	9
RA55006770	Keissiane Úria	21	2356.87	1	2	5	1	100	Travessa Dezoito de Dezembro	659	Vila Tolstoi	São Paulo	SP	03269-035	4
RA55003830	Diogo Taveira	20	2150.42	2	1	4	2	51	Travessa Dezoito de Dezembro	659	Vila Tolstoi	São Paulo	SP	03269-035	6
RA55003733	Leolino Cerveira Simões	20	2292.42	1	1	4	1	92	Rua Dom Rosalvo	343	Sumarezinho	São Paulo	SP	05442-903	8
RA55007958	Raislan Torquato Talhão Fogaça	21	2623.87	1	1	5	2	99	Rua Benedita Barbosa	729	Vila Barbosa	São Paulo	SP	02556-100	2
RA55003212	Francielza Valadim Pinheiro Atilano	19	1614.98	1	2	3	1	91	Praça da Sé	631	Sé	São Paulo	SP	01001-901	8
RA55003631	Aldecleide Camilo Quintas Frias	20	2226.42	2	2	4	1	47	Rua Pedro Voss	58	Vila Carrão	São Paulo	SP	03437-000	8
RA55001709	Ketury Azeredo Moita	19	1053.99	1	2	3	1	55	Rua Silva Pinto	972	Bom Retiro	São Paulo	SP	01126-010	10
RA55001846	Jogli Milheirão Águeda Vale	19	798.99	1	1	3	1	62	Rua Pedro Barbosa	194	Jardim Marília	São Paulo	SP	03579-130	10
RA55000267	Edimundo Pereira	19	603.99	1	1	3	1	72	Rua Dias Barbosa	969	Jardim São Paulo(Zona Leste)	São Paulo	SP	08461-540	10
RA55005986	Greiceane Pureza Muxagata	20	2387.42	1	2	4	2	3	Rua São Bruno	741	Jardim São Bento	São Paulo	SP	02525-020	8
RA55001141	Tauane Silva Rosado Luz	19	1141.99	1	2	3	1	23	Rua G	937	Conjunto Residencial Alpes do Jaraguá	São Paulo	SP	05183-370	10
RA55003163	Idenilton Batata Temes	19	2005.98	1	1	3	2	94	Rua Cinco de Maio	942	Vila Esperança	São Paulo	SP	03651-030	7
RA55006208	Edia Albuquerque Cavadas	20	2229.42	1	1	4	2	53	Rua Monsenhor Anacleto	754	Brás	São Paulo	SP	03003-020	5
RA55002047	Adnamar Velasques Feijó Medina	19	803.99	2	1	3	1	104	Rua Major Gomes Ribeiro	743	Vila Santa Teresa (Zona Leste)	São Paulo	SP	03565-020	9
RA55003731	Gilcilea Baldaia Barreira	20	1416.43	1	2	4	1	70	Avenida Nove de Julho	873	Jardim Paulista	São Paulo	SP	01407-907	8
RA55001910	Osmando Cruz Lameiras Granja	19	916.99	1	1	3	1	10	Rua Sete de Abril	277	Parque Primavera	São Paulo	SP	04467-285	9
RA55007308	Rainan Outeiro	21	3616.86	2	1	5	2	80	Rua 5 de Outubro	522	Chácara Gaivotas	São Paulo	SP	04849-309	2
RA55002661	Eliene Batata Carvalheiro Freire	19	2344.97	1	2	3	2	33	Rua Capitão José Leite	759	Vila Matilde	São Paulo	SP	03510-010	10
RA55000657	Lilandra Cortesão	19	790.99	1	2	3	1	62	Rua Treze de Maio	917	Cantinho do Céu	São Paulo	SP	04849-650	10
RA55006661	Gianina Varejão	21	1266.88	1	2	5	2	90	Rua 9 de Setembro	652	Chácara Gaivotas	São Paulo	SP	04849-333	4
RA55001308	Cyrillo Beltrão	19	833.99	2	1	3	1	2	Rua Almeida Campos	300	Vila Paulicéia	São Paulo	SP	02302-010	10
RA55009430	Miki Simas Godinho	34	3919.67	1	1	1	1	17	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	1
RA55000999	Natalia Valadão Fiães	19	1109.99	1	2	3	1	106	Rua Pedro Voss	58	Vila Carrão	São Paulo	SP	03437-000	9
RA55007433	Geissy Espinosa Morão	21	2602.87	1	2	5	1	39	Rua Manuel Pinto	121	Jardim Eliza	São Paulo	SP	05776-460	2
RA55002835	Ceir Igrejas Ponte	19	1518.98	1	1	3	2	47	Rua Major Baracca	906	Parque Edu Chaves	São Paulo	SP	02232-000	9
RA55009179	Vergilina Conde Morão	23	4105.74	1	2	1	1	112	Avenida Dezenove de Janeiro	320	Vila Carrão	São Paulo	SP	03449-000	1
RA55005881	Jamar Fonseca Ramos	20	2417.42	1	1	4	1	41	Rua Vinte e Seis de Abril	307	Vila Esperança	São Paulo	SP	03651-020	7
RA55001238	Aucenir Ferraço Alvelos	19	1035.99	1	1	3	1	34	Rua Monsenhor Anacleto	13	Brás	São Paulo	SP	03003-020	9
RA55002152	Neivaci Telinhos Fragoso	19	1003.99	1	1	3	1	85	Rua Quinze de Novembro	746	Centro	São Paulo	SP	01013-907	9
RA55007920	Francines Lemos	21	2880.86	2	2	5	2	41	Rua São João	847	Jardim Nova Conquista	São Paulo	SP	08346-405	2
RA55009696	Lueverton Camelo Lopes Teixeira	44	7121.1	1	1	3	2	107	Rua João Pujol	954	Vila Dona Sara	São Paulo	SP	03471-020	0
RA55007190	Neocides Capucho Moreira	21	3506.86	1	1	5	2	8	Rua Orestes Barbosa	329	Jardim Palmares (Zona Sul)	São Paulo	SP	04457-000	2
RA55008304	Rainilde Botica Rosado Saldanha	22	3443.3	1	2	1	1	46	Rua São Borja	704	Vila Gustavo	São Paulo	SP	02256-210	2
RA55006579	Julha Simão Brás Boeira	21	2042.87	1	2	5	2	104	Avenida Nove de Julho	282	Jardim Paulista	São Paulo	SP	01407-902	5
RA55005092	Cristofer Palha Aguiar	20	1296.43	1	1	4	1	46	Rua Albina Barbosa	289	Aclimação	São Paulo	SP	01530-020	6
RA55002187	Luzimario Alvelos Peçanha	19	1011.99	1	1	3	1	62	Rua Marcos Freire	579	Jardim Nova Conquista	São Paulo	SP	08346-580	9
RA55001135	Rosildo Queiroga Marreiro Barreno	19	1041.99	1	1	3	1	86	Rua Monsenhor Castro Nery	321	Parque Maria Domitila	São Paulo	SP	05128-010	9
RA55005005	Rivaiu Castanheda	20	1643.43	2	1	4	2	39	Rua João Canzi	697	Jardim Patente	São Paulo	SP	04243-090	7
RA55007975	Valnoir Moutinho Quental Matosinhos	21	2725.86	2	1	5	1	91	Rua Aracy de Almeida	997	Jardim Indaiá	São Paulo	SP	08143-010	2
RA55001304	Leidaiana Cadaval Casalinho	19	1112.99	1	2	3	1	75	Rua Quinze de Novembro	746	Centro	São Paulo	SP	01013-907	10
RA55008469	Rique Rios	22	3230.31	1	1	1	2	102	Rua Silva Pinto	123	Bom Retiro	São Paulo	SP	01126-010	2
RA55001628	Eisangela Roriz Morão Quental	19	1152.99	1	2	3	1	28	Rua Doze de Outubro	869	Lapa	São Paulo	SP	05073-900	10
RA55009282	Carpejane Cobra	25	3839.64	1	1	5	2	105	Rua São Pedro	138	Jardim Raposo Tavares	São Paulo	SP	05551-080	1
RA55001523	Valdeon Adão Vilas Boas Inácio	19	893.99	2	1	3	1	12	Rua São Bento	984	Centro	São Paulo	SP	01010-001	10
RA55009811	Aruza Lousã Gaspar Galindo	33	7579.18	1	2	2	2	88	Rua Major Ari Gomes	118	Vila Mazzei	São Paulo	SP	02309-050	0
RA55000359	Stefane Castanheira Chamusca Valadares	19	541.99	1	2	3	1	56	Rua Sete de Abril	787	Centro	São Paulo	SP	01044-902	10
RA55000139	Ilda Cardoso	19	436.0	1	2	3	1	69	Rua Doze de Outubro	869	Lapa	São Paulo	SP	05073-900	10
RA55000300	Germando Milheirão Alcaide	19	445.0	2	1	3	1	39	Praça Opala	269	Vila Euthalia	São Paulo	SP	03518-065	9
RA55001557	Sizue Leiria	19	882.99	1	2	3	1	108	Rua Sargento Sílvio Nunes Miranda	474	Parque Peruche	São Paulo	SP	02532-050	9
RA55005100	Samaira Feitosa Ferro	20	2056.42	1	2	4	2	91	Rua São Borja	704	Vila Gustavo	São Paulo	SP	02256-210	7
RA55000383	Joe Paiva Póvoas	19	1098.99	1	1	3	1	6	Rua São Luís	207	Vila Cosmopolita	São Paulo	SP	08421-030	9
RA55008313	Ketlin Mena	22	2461.31	1	2	1	1	7	Rua A	762	Jardim Santa Cruz (Sacomã)	São Paulo	SP	04182-125	2
RA55006949	Mavi Bessa Soares Pinto	21	1314.88	1	2	5	2	77	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	4
RA55004858	Railan Garcez	20	1636.43	1	1	4	1	48	Avenida Moaci	614	Planalto Paulista	São Paulo	SP	04083-900	8
RA55003181	Cleumo Calheiros	19	1546.98	1	1	3	2	28	Rua Caetano Pinto	235	Brás	São Paulo	SP	03041-000	8
RA55001440	Vanderlenia Goulart Passarinho	19	763.99	1	2	3	1	6	Avenida Nove de Julho	186	Jardim Paulista	São Paulo	SP	01407-902	10
RA55007270	Itanilda Tavares Loio Medeiros	21	2819.86	2	2	5	2	89	Rua Marco Martini	861	Jardim Dona Deolinda	São Paulo	SP	08032-580	2
RA55005674	Oton Baptista Estrela Carvalheiro	20	1766.43	2	1	4	1	106	Rua Bonifácio Ruiz	306	Conjunto Promorar São Luis	São Paulo	SP	05846-200	8
RA55000947	Idanir Ninharelhos Sales	19	1109.99	1	2	3	1	31	Rua Bonifácio Ruiz	306	Conjunto Promorar São Luis	São Paulo	SP	05846-200	9
RA55002391	Fridolin Sacadura Santarém Sampaio	19	1047.99	1	1	3	1	40	Rua Vandoma	793	Parque Cocaia	São Paulo	SP	04850-170	9
RA55005499	Celson Angelim Mangueira	20	2437.42	2	1	4	1	76	Rua Silva Pinto	123	Bom Retiro	São Paulo	SP	01126-010	6
RA55007074	Julha Custódio Noleto Cabral	21	2632.87	1	2	5	1	106	Avenida Vinte e Quatro de Fevereiro	868	Vila Rui Barbosa	São Paulo	SP	03734-090	2
RA55009231	Aisa Camelo	23	4073.74	2	2	4	1	102	Rua Capitão Luís Ramos	871	Vila Guilherme	São Paulo	SP	02066-010	1
RA55002722	Darcineia Pontes	19	1282.99	2	2	3	1	9	Avenida Nove de Julho	568	Jardim Paulista	São Paulo	SP	01407-907	9
RA55001933	Amorim Mainha	19	1152.99	2	1	3	1	80	Rua Nossa Senhora Aparecida	709	Jardim São Francisco	São Paulo	SP	08390-252	9
RA55007424	Margherita Gama	21	2534.87	1	2	5	2	50	Avenida Nove de Julho	186	Jardim Paulista	São Paulo	SP	01407-902	3
RA55003237	Idimar Tristão Osório Peseiro	19	1372.99	1	1	3	1	45	Avenida Nove de Julho	506	Jardim Paulista	São Paulo	SP	01406-901	8
RA55003141	Josewilson Souto Lins Amaro	19	2244.98	1	1	3	1	33	Rua Dezenove de Julho	875	Jardim São José (Zona Norte)	São Paulo	SP	02971-040	8
RA55004164	Elano Abasto	20	2325.42	2	1	4	1	49	Rua André de Almeida	410	Cidade São Mateus	São Paulo	SP	03950-000	6
RA55008889	Elenilto Nóbrega Cardoso	24	5059.18	1	1	4	1	109	Avenida Nove de Julho	282	Jardim Paulista	São Paulo	SP	01407-902	2
RA55003808	Alece Azenha Paula Viana	20	1358.43	2	2	4	1	56	Praça Monsenhor Macedo	598	Jardim Franca	São Paulo	SP	02338-040	7
RA55009480	Dejaildo Varão Correia	43	11003.61	1	1	2	2	96	Rua João Canzi	697	Jardim Patente	São Paulo	SP	04243-090	1
RA55006984	Diva Hernandes Macena	21	2306.87	1	2	5	2	95	Rua Treze de Maio	563	Bela Vista	São Paulo	SP	01327-900	4
RA55008905	Shana Garcez Quadros	24	4438.19	1	2	4	2	76	Rua Capitão José Leite	77	Vila Matilde	São Paulo	SP	03510-010	2
RA55009723	Gerla Bicudo	50	9092.77	1	2	5	2	101	Rua Marcos Juarez	182	Vila Buenos Aires	São Paulo	SP	03736-090	1
RA55004155	Valtelino Marinho Pacheco	20	1827.43	2	1	4	1	69	Rua Quatro de Agosto	14	Saúde	São Paulo	SP	04053-060	7
RA55004173	Nobuo Imperial Boga Brites	20	1589.43	2	1	4	2	48	Rua Nove de Julho	677	Santo Amaro	São Paulo	SP	04739-900	7
RA55000797	Eremi Prada Maia	19	752.99	2	2	3	1	14	Rua Frei João	771	Vila Nair	São Paulo	SP	04280-130	10
RA55002417	Marlicia Lessa Pimenta Cordeiro	19	1079.99	2	2	3	1	93	Rua João Lima	912	Chácara Belenzinho	São Paulo	SP	03381-080	10
RA55007171	Idevaldo Bernardes	21	3423.86	1	1	5	2	62	Rua Dom Aguirre	13	Vila Sofia	São Paulo	SP	04671-245	2
RA55006140	Derlison Eanes Miguéis Linhares	20	2436.42	1	1	4	2	59	Avenida Nove de Julho	282	Jardim Paulista	São Paulo	SP	01407-902	4
RA55000786	Rendrikson Saloio Fontes Vidal	19	1130.99	1	1	3	1	86	Rua Vinte e Oito de Setembro	136	Vila Dom Pedro I	São Paulo	SP	04267-000	9
RA55007068	Mardson Delgado Gonçalves	21	3428.86	2	1	5	1	23	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	3
RA55003159	Natallia Neiva	19	1349.99	1	2	3	2	54	Rua Ruiva	987	Brasilândia	São Paulo	SP	02844-110	8
RA55000124	Rosarina Picanço	19	488.99	1	2	3	1	17	Rua Pedro Doll	912	Santana	São Paulo	SP	02404-001	9
RA55009458	Jalvir Homem	48	4364.92	1	1	3	2	64	Rua Benedita Barbosa	729	Vila Barbosa	São Paulo	SP	02556-100	0
RA55009247	Deli Lourenço	25	4163.64	1	2	1	2	64	Rua Flor de Maio	247	Parque das Flores	São Paulo	SP	08391-435	1
RA55002173	Lourrany Raminhos Goulart	19	1027.99	1	2	3	1	112	Rua Emílio Barbosa	875	Vila Prudente	São Paulo	SP	03135-040	10
RA55002170	Cleonilce Pescada	19	774.99	1	2	3	1	21	Rua Dom Lino	945	Luz	São Paulo	SP	01103-070	9
RA55006881	Varlei Águeda Pessoa	21	2205.87	1	1	5	2	18	Rua Sargento Sílvio Nunes Miranda	474	Parque Peruche	São Paulo	SP	02532-050	4
RA55004010	Jacqueline Marinho	20	1788.43	1	2	4	1	72	Praça Sá Pinto	720	Vila Ipojuca	São Paulo	SP	05055-070	7
RA55009297	Amildo Vides	25	4042.64	1	1	4	2	16	Praça São Marcos	834	Vila Ida	São Paulo	SP	05455-050	0
RA55004341	Altanira Toscano Paiva	20	2417.42	1	2	4	2	51	Rua Elias de Almeida	953	Parque Casa de Pedra	São Paulo	SP	02319-120	6
RA55000911	Ose Rosmaninho Hilário	19	645.99	1	1	3	1	64	Rua Treze de Maio	471	Jardim Campo Limpo (Zona Norte)	São Paulo	SP	02362-075	10
RA55006269	Neocides Assunção	20	2247.42	2	1	4	2	36	Rua Flor de Abril	918	Jardim Peri	São Paulo	SP	02651-140	4
RA55007772	Brasileiro Vilas Boas Farias	21	3265.86	1	1	5	1	25	Avenida Moaci	772	Planalto Paulista	São Paulo	SP	04093-901	3
RA55002310	Edwirgem Carmo Carromeu Ilha	19	959.99	1	2	3	1	89	Travessa Sete de Setembro	449	Recanto dos Humildes	São Paulo	SP	05209-550	9
RA55009659	Alfo Farias	30	11715.79	1	1	5	1	81	Rua João Pujol	954	Vila Dona Sara	São Paulo	SP	03471-020	1
RA55003635	Sidarta Doutis Mateus	20	2370.42	2	1	4	1	58	Rua Caetano Pinto	235	Brás	São Paulo	SP	03041-000	7
RA55001258	Ravila Raminhos	19	1169.99	1	2	3	1	19	Praça Três de Setembro	892	Vila Alpina	São Paulo	SP	03207-060	10
RA55006592	Nadilaine Feitosa	21	1922.87	1	2	5	2	50	Rua Onofre Pinto	15	Jardim Lajeado	São Paulo	SP	08441-211	5
RA55004459	Rosa Carvalheira Ruela Letras	20	2151.42	1	2	4	2	88	Rua Monsenhor Anacleto	754	Brás	São Paulo	SP	03003-020	7
RA55006134	Gleisson Luz Mourinho Camargo	20	1238.43	1	1	4	1	51	Rua Três de Maio	943	Vila Clementino	São Paulo	SP	04044-020	4
RA55001179	Ericleison Carqueijeiro Rabelo Fragoso	19	1158.99	2	1	3	1	76	Rua Treze de Maio	917	Cantinho do Céu	São Paulo	SP	04849-650	10
RA55004653	Eunivaldo Beltrão Clementino	20	1538.43	1	1	4	1	99	Rua Pedro Ruimonte	739	Jardim Heloisa	São Paulo	SP	05781-300	8
RA55006219	Atair Quinaz Álvares	20	2001.43	1	2	4	2	36	Avenida Ceci	848	Planalto Paulista	São Paulo	SP	04065-000	5
RA55003651	Velucia Jesus	20	1521.43	1	2	4	2	36	Viela Vinte e Sete de Setembro	710	Cidade Nova Heliópolis	São Paulo	SP	04235-090	7
RA55000443	Ildel Reino Rosa	19	716.99	2	1	3	1	70	Rua Almeida Góis	195	Vila Gumercindo	São Paulo	SP	04131-040	10
RA55003416	Yoshiko Varela Sintra Neto	19	1304.99	1	1	3	2	42	Rua Rafael Barbosa	976	Jardim Maria Luiza	São Paulo	SP	05371-080	8
RA55001400	Rochael Cabral Feira Ventura	19	809.99	1	1	3	1	58	Travessa Sete de Setembro	449	Recanto dos Humildes	São Paulo	SP	05209-550	9
RA55001458	Marilaine Pestana Zagalo Martins	19	841.99	1	2	3	1	70	Rua 23 de Novembro	929	Vila Progresso (Zona Leste)	São Paulo	SP	08240-001	9
RA55007525	Criselia Soares Casalinho	21	3603.86	1	2	5	2	75	Avenida Odila	792	Planalto Paulista	São Paulo	SP	04058-021	3
RA55005745	Juliana Carreira Esparteiro Vilaverde	20	1321.43	1	2	4	1	61	Rua Carapuruí	62	Alto da Lapa	São Paulo	SP	05059-050	6
RA55001055	Alencar Filipe Vaz Lages	19	931.99	1	1	3	1	108	Rua Soldado Aristides Gouveia	76	Parque Novo Mundo	São Paulo	SP	02188-090	10
RA55008999	Valmick Rolim Mamouros	22	3762.3	1	1	1	1	26	Praça Yedo	133	Vila Maria Alta	São Paulo	SP	02134-050	2
RA55003276	Marinelson Bezerra	19	1620.98	1	1	3	1	90	Avenida Nove de Julho	947	Jardim Paulista	São Paulo	SP	01406-100	7
RA55001464	Quetila Cabral Faria	19	663.99	1	2	3	1	99	Rua Pedro Doll	912	Santana	São Paulo	SP	02404-001	9
RA55003700	Grabriela Calheiros Aires Cachoeira	20	1356.43	1	2	4	2	78	Rua Major Claudiano	49	Vila Gea	São Paulo	SP	04692-030	6
RA55003760	Carlinete Morgado Janes Cunha	20	1677.43	1	2	4	2	51	Rua Acuruí	534	Vila Formosa	São Paulo	SP	03355-000	8
RA55000930	Livia Amorim Inês	19	781.99	1	2	3	1	51	Avenida Duquesa de Goiás	792	Real Parque	São Paulo	SP	05686-900	9
RA55005512	Venildes Alencar Vides	20	2163.42	1	2	4	2	42	Rua Marechal Malet	251	Parque da Vila Prudente	São Paulo	SP	03140-020	6
RA55006469	Joissy Poças Esparteiro	21	2206.87	1	2	5	1	59	Rua São Judas	868	Condomínio Jequirituba	São Paulo	SP	04851-604	4
RA55008413	Moraes Souto	22	3028.31	1	1	5	1	97	Rua Ernani Pinto	803	Vila Maria Alta	São Paulo	SP	02128-020	2
RA55001830	Ildeglan Olaio	19	1169.99	1	1	3	1	28	Rua Major Dantas Cortez	148	Vila Gustavo	São Paulo	SP	02206-002	9
RA55002929	Orelia Antas Fragoso Fernandes	19	2401.97	1	2	3	1	50	Rua Major Sucupira	301	Vila Firmiano Pinto	São Paulo	SP	04124-050	9
RA55008296	Ledi Frois Sabala Colares	22	3179.31	1	2	3	2	16	Rua São Bento	984	Centro	São Paulo	SP	01010-001	3
RA55006539	Ierica Vilante Paredes	21	2000.87	1	2	5	1	64	Rua 5 de Outubro	522	Chácara Gaivotas	São Paulo	SP	04849-309	4
